,Survived,Age,firstclass,secondclass,thirdclass,C,Q,S,female,male
580,0,25.0,0,0,1,0,0,1,1,0
581,1,29.0,1,0,0,0,0,1,1,0
582,0,11.0,0,0,1,1,0,0,0,1
583,0,23.0,0,1,0,0,0,1,0,1
584,0,23.0,0,1,0,0,0,1,0,1
585,0,28.5,0,0,1,0,0,1,0,1
586,0,48.0,0,0,1,0,0,1,1,0
587,1,35.0,1,0,0,1,0,0,0,1
588,0,36.0,1,0,0,0,0,1,0,1
589,1,21.0,1,0,0,1,0,0,1,0
590,0,24.0,0,0,1,0,0,1,0,1
591,1,31.0,0,0,1,0,0,1,0,1
592,0,70.0,1,0,0,0,0,1,0,1
593,0,16.0,0,0,1,0,0,1,0,1
594,1,30.0,0,1,0,0,0,1,1,0
595,0,19.0,1,0,0,0,0,1,0,1
596,0,31.0,0,0,1,0,1,0,0,1
597,1,4.0,0,1,0,0,0,1,1,0
598,1,6.0,0,0,1,0,0,1,0,1
599,0,33.0,0,0,1,0,0,1,0,1
600,0,23.0,0,0,1,0,0,1,0,1
601,1,48.0,0,1,0,0,0,1,1,0
602,1,0.67,0,1,0,0,0,1,0,1
603,0,28.0,0,0,1,0,0,1,0,1
604,0,18.0,0,1,0,0,0,1,0,1
605,0,34.0,0,0,1,0,0,1,0,1
606,1,33.0,1,0,0,0,0,1,1,0
607,0,41.0,0,0,1,0,0,1,0,1
608,1,20.0,0,0,1,1,0,0,0,1
609,1,36.0,1,0,0,0,0,1,1,0
610,0,16.0,0,0,1,0,0,1,0,1
611,1,51.0,1,0,0,0,0,1,1,0
612,0,30.5,0,0,1,0,1,0,1,0
613,0,32.0,0,0,1,0,0,1,0,1
614,0,24.0,0,0,1,0,0,1,0,1
615,0,48.0,0,0,1,0,0,1,0,1
616,0,57.0,0,1,0,0,0,1,1,0
617,1,54.0,0,1,0,0,0,1,1,0
618,0,18.0,0,0,1,0,0,1,0,1
619,1,5.0,0,0,1,0,0,1,1,0
620,1,43.0,1,0,0,0,0,1,1,0
621,1,13.0,0,0,1,1,0,0,1,0
622,1,17.0,1,0,0,0,0,1,1,0
623,0,29.0,1,0,0,0,0,1,0,1
624,0,25.0,0,0,1,0,0,1,0,1
625,0,25.0,0,0,1,0,0,1,0,1
626,1,18.0,0,0,1,0,0,1,1,0
627,0,8.0,0,0,1,0,1,0,0,1
628,1,1.0,0,0,1,0,0,1,0,1
629,0,46.0,1,0,0,1,0,0,0,1
630,0,16.0,0,1,0,0,0,1,0,1
631,0,25.0,0,0,1,0,0,1,0,1
632,0,39.0,0,1,0,0,0,1,0,1
633,1,49.0,1,0,0,0,0,1,1,0
634,1,31.0,0,0,1,0,0,1,1,0
635,0,30.0,0,0,1,1,0,0,0,1
636,0,30.0,0,0,1,0,0,1,1,0
637,0,34.0,0,1,0,0,0,1,0,1
638,1,31.0,0,1,0,0,0,1,1,0
639,1,11.0,1,0,0,0,0,1,0,1
640,1,0.42,0,0,1,1,0,0,0,1
641,1,27.0,0,0,1,0,0,1,0,1
642,0,31.0,0,0,1,0,0,1,0,1
643,0,39.0,1,0,0,0,0,1,0,1
644,0,18.0,0,0,1,0,0,1,1,0
645,0,39.0,0,1,0,0,0,1,0,1
646,1,33.0,1,0,0,0,0,1,1,0
647,0,26.0,0,0,1,0,0,1,0,1
648,0,39.0,0,0,1,0,0,1,0,1
649,0,35.0,0,1,0,0,0,1,0,1
650,0,6.0,0,0,1,0,0,1,1,0
651,0,30.5,0,0,1,0,0,1,0,1
652,0,23.0,0,0,1,0,0,1,1,0
653,0,31.0,0,1,0,1,0,0,0,1
654,0,43.0,0,0,1,0,0,1,0,1
655,0,10.0,0,0,1,0,0,1,0,1
656,1,52.0,1,0,0,0,0,1,1,0
657,1,27.0,0,0,1,0,0,1,0,1
658,0,38.0,1,0,0,0,0,1,0,1
659,1,27.0,0,0,1,0,0,1,1,0
660,0,2.0,0,0,1,0,0,1,0,1
661,1,1.0,0,1,0,1,0,0,0,1
662,1,62.0,1,0,0,0,0,0,1,0
663,1,15.0,0,0,1,1,0,0,1,0
664,1,0.83,0,1,0,0,0,1,0,1
665,0,23.0,0,0,1,0,0,1,0,1
666,0,18.0,0,0,1,0,0,1,0,1
667,1,39.0,1,0,0,1,0,0,1,0
668,0,21.0,0,0,1,0,0,1,0,1
669,1,32.0,0,0,1,0,0,1,0,1
670,0,20.0,0,0,1,0,0,1,0,1
671,0,16.0,0,1,0,0,0,1,0,1
672,1,30.0,1,0,0,1,0,0,1,0
673,0,34.5,0,0,1,1,0,0,0,1
674,0,17.0,0,0,1,0,0,1,0,1
675,0,42.0,0,0,1,0,0,1,0,1
676,0,35.0,0,0,1,1,0,0,0,1
677,0,28.0,0,1,0,0,0,1,0,1
678,0,4.0,0,0,1,0,0,1,0,1
679,0,74.0,0,0,1,0,0,1,0,1
680,0,9.0,0,0,1,1,0,0,1,0
681,1,16.0,1,0,0,0,0,1,1,0
682,0,44.0,0,1,0,0,0,1,1,0
683,1,18.0,0,0,1,0,0,1,1,0
684,1,45.0,1,0,0,0,0,1,1,0
685,1,51.0,1,0,0,0,0,1,0,1
686,1,24.0,0,0,1,1,0,0,1,0
687,0,41.0,0,0,1,0,0,1,0,1
688,0,21.0,0,1,0,0,0,1,0,1
689,1,48.0,1,0,0,0,0,1,1,0
690,0,24.0,0,1,0,0,0,1,0,1
691,1,42.0,0,1,0,0,0,1,1,0
692,1,27.0,0,1,0,1,0,0,1,0
693,0,31.0,1,0,0,0,0,1,0,1
694,1,4.0,0,0,1,0,0,1,0,1
695,0,26.0,0,0,1,0,0,1,0,1
696,1,47.0,1,0,0,0,0,1,1,0
697,0,33.0,1,0,0,0,0,1,0,1
698,0,47.0,0,0,1,0,0,1,0,1
699,1,28.0,0,1,0,1,0,0,1,0
700,1,15.0,0,0,1,1,0,0,1,0
701,0,20.0,0,0,1,0,0,1,0,1
702,0,19.0,0,0,1,0,0,1,0,1
703,1,56.0,1,0,0,1,0,0,1,0
704,1,25.0,0,1,0,0,0,1,1,0
705,0,33.0,0,0,1,0,0,1,0,1
706,0,22.0,0,0,1,0,0,1,1,0
707,0,28.0,0,1,0,0,0,1,0,1
708,0,25.0,0,0,1,0,0,1,0,1
709,0,39.0,0,0,1,0,1,0,1,0
710,0,27.0,0,1,0,0,0,1,0,1
711,1,19.0,1,0,0,0,0,1,1,0
712,1,26.0,1,0,0,1,0,0,0,1
713,0,32.0,0,0,1,0,1,0,0,1
